Neighbourhood Name,Neighbourhood Number,Descriptive Name
PRINCE RUPERT,1170,Prince Rupert
PYLYPOW INDUSTRIAL,6590,Pylypow Industrial
QUEEN ALEXANDRA,5330,Queen Alexandra
QUEEN MARY PARK,1180,Queen Mary Park
QUESNELL HEIGHTS,4420,Quesnell Heights
RAMPART INDUSTRIAL,3360,Rampart Industrial
RAMSAY HEIGHTS,5340,Ramsay Heights
RAPPERSWILL,3370,Rapperswill
RHATIGAN RIDGE,5350,Rhatigan Ridge
RICHFIELD,6600,Richfield
RICHFORD,5451,Richford
RIDEAU PARK,5360,Rideau Park
RIO TERRACE,4430,Rio Terrace
RITCHIE,6610,Ritchie
RIVER VALLEY CAMERON,4467,River Valley Cameron
RIVER VALLEY CAPITOL HILL,3380,River Valley Capitol Hill
RIVER VALLEY FORT EDMONTON,5401,River Valley Fort Edmonton
RIVER VALLEY GLENORA,3381,River Valley Glenora
RIVER VALLEY GOLD BAR,6620,River Valley Gold Bar
RIVER VALLEY HERMITAGE,2630,River Valley Hermitage
RIVER VALLEY HIGHLANDS,2640,River Valley Highlands
RIVER VALLEY KINNAIRD,1190,River Valley Kinnaird
RIVER VALLEY LAURIER,3382,River Valley Laurier
RIVER VALLEY LESSARD NORTH,4440,River Valley Lessard North
RIVER VALLEY MAYFAIR,5370,River Valley Mayfair
RIVER VALLEY OLESKIW,4451,River Valley Oleskiw
RIVER VALLEY RIVERSIDE,6630,River Valley Riverside
RIVER VALLEY RUNDLE,2650,River Valley Rundle
RIVER VALLEY TERWILLEGAR,5380,River Valley Terwillegar
RIVER VALLEY VICTORIA,1200,River Valley Victoria
RIVER VALLEY WALTERDALE,5390,River Valley Walterdale
RIVER VALLEY WHITEMUD,5400,River Valley Whitemud
RIVER VALLEY WINDERMERE,5405,River Valley Windermere
RIVER'S EDGE,4469,River's Edge
RIVERDALE,1210,Riverdale
RIVERVIEW AREA,4463,Riverview Area
ROPER INDUSTRIAL,6640,Roper Industrial
ROSEDALE INDUSTRIAL,6650,Rosedale Industrial
ROSENTHAL,4750,Rosenthal
ROSSDALE,1220,Rossdale
ROSSLYN,3390,Rosslyn
ROYAL GARDENS,5430,Royal Gardens
RUNDLE HEIGHTS,2660,Rundle Heights
RURAL NORTH EAST HORSE HILL,2670,Rural North East Horse Hill
RURAL NORTH EAST SOUTH STURGEON,2690,Rural North East South Sturgeon
RUTHERFORD,5454,Rutherford
SAKAW,6670,Sakaw
SATOO,6680,Satoo
SCHONSEE,2700,Schonsee
SECORD,4487,Secord
SHEFFIELD INDUSTRIAL,4490,Sheffield Industrial
SHERBROOKE,3410,Sherbrooke
SHERWOOD,4500,Sherwood
SIFTON PARK,2710,Sifton Park
SILVER BERRY,6442,Silver Berry
SKYRATTLER,5460,Skyrattler
SOUTH EDMONTON COMMON,6195,South Edmonton Common
SOUTH TERWILLEGAR,5642,South Terwillegar
SOUTHEAST INDUSTRIAL,6690,Southeast Industrial
SPRUCE AVENUE,1230,Spruce Avenue
STARLING,4474,Starling
STEINHAUER,5470,Steinhauer
STEWART GREENS,4486,Stewart Greens
STILLWATER,4468,Stillwater
STONE INDUSTRIAL,4510,Stone Industrial
STRATHCONA,5480,Strathcona
STRATHCONA INDUSTRIAL PARK,6700,Strathcona Industrial Park
STRATHCONA JUNCTION,5151,Strathcona Junction
STRATHEARN,6710,Strathearn
SUDER GREENS,4730,Suder Greens
SUMMERLEA,4520,Summerlea
SUMMERSIDE,6213,Summerside
SUNWAPTA INDUSTRIAL,4530,Sunwapta Industrial
SWEET GRASS,5490,Sweet Grass
TAMARACK,6443,Tamarack
TAWA,6720,Tawa
TERRA LOSA,4540,Terra Losa
TERRACE HEIGHTS,6730,Terrace Heights
TERWILLEGAR TOWNE,5640,Terwillegar Towne
THE HAMPTONS,4461,The Hamptons
THE ORCHARDS AT ELLERSLIE,6216,The Orchards At Ellerslie
THE UPLANDS,4464,The Uplands
THORNCLIFF,4560,Thorncliff
TIPASKAN,6750,Tipaskan
TRUMPETER AREA,4471,Trumpeter Area
TWEDDLE PLACE,6760,Tweddle Place
TWIN BROOKS,5511,Twin Brooks
UNIVERSITY OF ALBERTA,5520,University of Alberta
UNIVERSITY OF ALBERTA FARM,5530,University of Alberta Farm
VIRGINIA PARK,1240,Virginia Park
WALKER,6662,Walker
