X,Y,OBJECTID,Reported_Date,Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,Reported_Day,Reported_Month,Reported_Year,Date_Reported
-113.58513098,53.5541550500001,118,2022/10/28 12:00:00+00,Non-Violent,Property,Break and Enter Residential,109 AV/153 ST,28,10,2022,2022/10/28
-113.586811953,53.5315337210001,119,2022/10/28 12:00:00+00,Disorder,General Disorder,Trouble with Person,154 ST/95 AV,28,10,2022,2022/10/28
-113.393710987,53.568822998,120,2022/10/28 12:00:00+00,Disorder,General Disorder,Trespassing,116A AV/34 ST,28,10,2022,2022/10/28
-113.432721381,53.442773398,121,2022/10/28 12:00:00+00,Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,13 AV/62 ST,28,10,2022,2022/10/28
-113.501010601,53.5083640660001,122,2022/10/28 12:00:00+00,Disorder,General Disorder,Trouble with Person,105 ST/72 AV,28,10,2022,2022/10/28
-113.507525165,53.50484727,123,2022/10/28 12:00:00+00,Disorder,General Disorder,Trouble with Person,107 ST/68 AV,28,10,2022,2022/10/28
-113.458325766,53.519025766,124,2022/10/28 12:00:00+00,Non-Violent,Property,Theft Under $5000,83 AV/85 ST,28,10,2022,2022/10/28
-113.486130028,53.5180553420001,125,2022/10/28 12:00:00+00,Non-Violent,Property,Theft Under $5000,82 AV/99 ST,28,10,2022,2022/10/28
-113.468656567,53.6135627890001,126,2022/10/28 12:00:00+00,Disorder,General Disorder,Trouble with Person,152A AV/83 ST,28,10,2022,2022/10/28
-113.475420229,53.5484209270001,127,2022/10/28 12:00:00+00,Violent,Personal Violence,Assault,92 ST/JASPER AV,28,10,2022,2022/10/28
-113.466493549,53.500557407,128,2022/10/28 12:00:00+00,Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,64 AV/89 ST,28,10,2022,2022/10/28
-113.463663608,53.573558425,129,2022/10/28 12:00:00+00,Disorder,General Disorder,Trouble with Person,120 AV/80 ST,28,10,2022,2022/10/28
-113.320175675,53.643235121,130,2022/10/28 12:00:00+00,Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,17 ST/182 AV,28,10,2022,2022/10/28
-113.423192144,53.453235582,131,2022/10/28 12:00:00+00,Non-Violent,Property,Theft Under $5000,22 AV/53 ST,28,10,2022,2022/10/28
-113.64016805,53.494130156,132,2022/10/28 12:00:00+00,Non-Violent,Property,Theft Under $5000,184 ST/60 AV,28,10,2022,2022/10/28
-113.623581044,53.524960304,133,2022/10/28 12:00:00+00,Violent,Sexual Violations,Indecent Act,175 ST/90 AV,28,10,2022,2022/10/28
-113.476189995,53.5703915190001,134,2022/10/28 12:00:00+00,Non-Violent,Property,Break and Enter Residential,118 AV/88 ST,28,10,2022,2022/10/28
-113.603319915,53.559101895,135,2022/10/28 12:00:00+00,Non-Violent,Property,Theft Under $5000,111 AV/163 ST,28,10,2022,2022/10/28
-113.443322529,53.4583867950001,136,2022/10/28 12:00:00+00,Non-Violent,Property,Theft Under $5000,28 AV/MILL WOODS REC CENTRE ,28,10,2022,2022/10/28
-113.572587558,53.544012325,137,2022/10/28 12:00:00+00,Non-Violent,Property,Break and Enter Residential,103 AV/146 ST,28,10,2022,2022/10/28
-113.437835746,53.413616323,138,2022/10/28 12:00:00+00,Non-Violent,Property,Fraud General,WATT DR SW/WEIDLE CR SW,28,10,2022,2022/10/28
-113.497390901,53.5445940930001,139,2022/10/28 12:00:00+00,Disorder,Disputes/Disturbances,Dispute,103 AV/103 ST,28,10,2022,2022/10/28
-113.580308864,53.539267819,140,2022/10/28 12:00:00+00,Non-Violent,Property,Theft Under $5000,100 AV/100A AV,28,10,2022,2022/10/28
-113.418690973,53.5380262100001,141,2022/10/28 12:00:00+00,Non-Violent,Property,Theft Under $5000,50 ST/50 ST,28,10,2022,2022/10/28
-113.498706317,53.5669607300001,142,2022/10/28 12:00:00+00,Non-Violent,Property,Theft Under $5000,103 ST/116 AV,28,10,2022,2022/10/28
-113.483771775,53.547273884,143,2022/10/28 12:00:00+00,Weapons,Weapons Violations,Weapons Complaint Firearm,103A AV/96 ST,28,10,2022,2022/10/28
-113.493191724,53.558929237,144,2022/10/27 12:00:00+00,Disorder,General Disorder,Trouble with Person,111 AV/101 ST,27,10,2022,2022/10/27
-113.543291081,53.6234422050001,145,2022/10/27 12:00:00+00,Non-Violent,Property,Theft Under $5000,128A ST/161 AV,27,10,2022,2022/10/27
-113.520395724,53.627035666,146,2022/10/27 12:00:00+00,Disorder,Disputes/Disturbances,Dispute,114 ST/118 ST,27,10,2022,2022/10/27
-113.543961181,53.5995672270001,147,2022/10/27 12:00:00+00,Non-Violent,Property,Theft Under $5000,137 AV/129 ST,27,10,2022,2022/10/27
-113.434133076,53.458714403,148,2022/10/27 12:00:00+00,Non-Violent,Property,Break and Enter Commercial,28 AV/66 ST,27,10,2022,2022/10/27
-113.439942855,53.5447236860001,149,2022/10/27 12:00:00+00,Disorder,General Disorder,Suspicious Person,103 AV/73 ST,27,10,2022,2022/10/27
-113.447776892,53.44525937,150,2022/10/27 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,74 ST/MILL WOODS RD,27,10,2022,2022/10/27
-113.470745212,53.559505502,151,2022/10/27 12:00:00+00,Violent,Personal Violence,Assault,111 AV/84 ST,27,10,2022,2022/10/27
-113.473299675,53.562736708,152,2022/10/27 12:00:00+00,Disorder,General Disorder,Trespassing,113 AV/86 ST,27,10,2022,2022/10/27
-113.479740208,53.571933888,153,2022/10/27 12:00:00+00,Non-Violent,Property,Break and Enter Residential,119 AV/90 ST,27,10,2022,2022/10/27
-113.486110408,53.4847760920001,154,2022/10/27 12:00:00+00,Disorder,General Disorder,Trouble with Person,47 AV/99 ST,27,10,2022,2022/10/27
-113.454322122,53.4706302100001,155,2022/10/27 12:00:00+00,Disorder,Provincial Statute Violations,Intoxicated Person,78 ST/37 AV,27,10,2022,2022/10/27
-113.439308927,53.4478094840001,156,2022/10/27 12:00:00+00,Disorder,Disputes/Disturbances,Disturbance,17 AV/17 AV,27,10,2022,2022/10/27
-113.497390045,53.5461858350001,157,2022/10/27 12:00:00+00,Non-Violent,Property,Theft Under $5000,104 AV/104 AV,27,10,2022,2022/10/27
